#,Datum,Zeit,Position,Kartenadresse,Quelle,Wert,Suchergebnisse,Gesucht in,Parameter,Quelle (2),Konto,Gelöschte,Tag-Hinweis,Quelldatei-Informationen,Rekonstruiert,Manuell decodiert
28,01.12.2022,01.12.2022 17:16:25(UTC+1),,,Samsung Internet Browser,spaghetti carbonara,,,,Unbekannt,,,,userdata (ExtX)/Root/data/com.sec.android.app.sbrowser/app_sbrowser/Default/History : 0x5FD5 (Größe: 126976 Bytes),,
29,01.12.2022,01.12.2022 17:16:21(UTC+1),,,Samsung Internet Browser,spaghetti carbonara,,,,Unbekannt,,,,userdata (ExtX)/Root/data/com.sec.android.app.sbrowser/app_sbrowser/Default/History : 0x5FF1 (Größe: 126976 Bytes),,
30,01.12.2022,01.12.2022 16:23:58(UTC+1),,,Google Maps,21397 Barendorf_%0x47b1df9c1d128,,,,Standardwert,,,,"userdata (ExtX)/Root/data/com.google.android.apps.maps/databases/gmm_myplaces.db : 0x3E79 (Tabelle: sync_item, Größe: 40960 Bytes)",,
30(1),01.12.2022,01.12.2022 16:23:58(UTC+1),,,Google Maps,21397 Barendorf_%0x47b1df9c1d128,,,,Standardwert,,Ja,,userdata (ExtX)/Root/data/com.google.android.apps.maps/databases/gmm_myplaces.db-journal : 0x60A5 (Größe: 33344 Bytes),,
31,01.12.2022,01.12.2022 16:23:10(UTC+1),,,Google Maps,,,,,Standardwert,,,,"userdata (ExtX)/Root/data/com.google.android.apps.maps/databases/gmm_myplaces.db : 0x3F8E (Tabelle: sync_item, Größe: 40960 Bytes)",,
31(1),01.12.2022,01.12.2022 16:23:10(UTC+1),,,Google Maps,,,,,Standardwert,,Ja,,userdata (ExtX)/Root/data/com.google.android.apps.maps/databases/gmm_myplaces.db-journal : 0x61BA (Größe: 33344 Bytes),,
32,28.11.2022,28.11.2022 00:37:50(UTC+1),,,Play Store,whatsapp,,,,Standardwert,,,,"userdata (ExtX)/Root/data/com.android.vending/databases/suggestions.db : 0x3FFA (Tabelle: suggestions, Größe: 20480 Bytes)",,
33,,,,,Google Maps,Hamburg,,,,Standardwert,,,,userdata (ExtX)/Root/data/com.google.android.apps.maps/files/new_recent_history_cache_search.cs : 0x193 (Größe: 495 Bytes),,
34,,,,,Google Maps,Eschenkamp 21, Barendorf,Eschenkamp 21, Barendorf,,,Standardwert,,,,userdata (ExtX)/Root/data/com.google.android.apps.maps/files/new_recent_history_cache_search.cs : 0xD9 (Größe: 495 Bytes),,
35,,,,,Google Maps,McFIT Fitnessstudio,Pulverweg 6, 21337 Lüneburg,,,Standardwert,,,,userdata (ExtX)/Root/data/com.google.android.apps.maps/files/new_recent_history_cache_search.cs : 0x19 (Größe: 495 Bytes),,
36,,,,,Samsung Internet Browser,ebaykleinanzeigen anzeige prüfung,,,,Standardwert,,,,"userdata (ExtX)/Root/data/com.sec.android.app.sbrowser/app_sbrowser/Default/History : 0xAE98 (Tabelle: keyword_search_terms, Größe: 126976 Bytes)",,
37,,,,,Samsung Internet Browser,ebaykleinanzeigen sicherheitsprüfung,,,,Standardwert,,,,"userdata (ExtX)/Root/data/com.sec.android.app.sbrowser/app_sbrowser/Default/History : 0xAF35 (Tabelle: keyword_search_terms, Größe: 126976 Bytes)",,
37(1),,,,,Samsung Internet Browser,ebaykleinanzeigen sicherheitsprüfung,,,,Unbekannt,,,,userdata (ExtX)/Root/data/com.sec.android.app.sbrowser/app_sbrowser/Default/Top Sites : 0x4DA9 (Größe: 24576 Bytes),,
